지역구,주소
광진구,서울시 광진구 면목로17길 6(중곡동 559-4)
광진구,서울특별시 광진구 광장동 285-7번지
광진구,서울시 광진구 구의동 239-107
광진구,서울특별시 광진구 구의동 246-14번지 크레신타워3차
광진구,서울특별시 광진구 자양동 606-17번지
광진구,서울특별시 광진구 자양동 792번지 자양현대홈타운10차아파트 현대홈타운 상가동 101호
광진구,서울 광진구 동일로18길 11(자양4동)
광진구,서울 광진구 광나루로24길 14(화양동 495-17)-인서점 옆 
광진구,"서울 광진구 능동로13길 15, 1층(화양동 11-1)"
광진구,"서울 광진구 군자로3길 14, 1층(화양동 15-20)"
광진구,서울 광진구 군자로 141(군자동 48-24)
광진구,"서울 광진구 자양로51길 22, 1층 (구의동 28-40, 성보빌딩)"
광진구,"서울 광진구 아차산로39길 16, 1층(자양1동 225-90)"
광진구,서울 광진구 자양동 631번지
GS25,"서울 광진구 뚝섬로52라길 3, 1층(자양2동 639-11)"
GS25,"서울 광진구 뚝섬로50길 16, 1층(자양2동 604-3)"
광진구,광진구 아차산로 502 (광장동) 
광진구,광진구 아차산로51길 62 (구의1동) 
광진구,광진구 뚝섬로 644 (자양2동)
광진구,광진구 (자양3동) 427-13
광진구,광진구 (자양3동) 427-28
광진구,광진구 (자양4동) 99-2
광진구,서울 광진구 능동로 143(화양동 3-21)
광진구,서울 광진구 동일로22길 59(화양동 47-67)
광진구,서울특별시 광진구 자양로 281 누리빌딩1층
광진구, 서울시 광진구 능동로 442 (중곡3동)
광진구, 서울시 광진구 용마산로8가길 25 (중곡4동)
광진구, 서울시 광진구 강변역로 50 (구의3동)
동대문구,서울특별시 동대문구 용두동 52-1번지
동대문구,서울특별시 동대문구 용두동 24-1번지 2호
동대문구,서울특별시 동대문구 제기동 137-45번지
동대문구,서울시 동대문구 회기로14 어진재 1층 101호
동대문구,서울특별시 동대문구 답십리동 765번지
동대문구,서울특별시 동대문구 답십리동 497-1번지
동대문구,서울특별시 동대문구 신설동 98-32번지 교보재단빌딩
동대문구,서울특별시 동대문구 신설동 97-8번지 102호
동대문구,"서울특별시 동대문구 천호대로27길 8-5, (용두동) 1층"
동대문구,서울특별시 동대문구 용두동 233-14번지
동대문구,서울특별시 동대문구 용두동 730-1번지
동대문구,서울특별시 동대문구 용두동 792-3번지 삼성래미안허브리츠단지 상가 101호
동대문구,서울 동대문구 이문동 299-7
동대문구,서울특별시 동대문구 장안동 385-1번지
동대문구,서울시 동대문구 제기로6길 4(제기동 138-14)
동대문구,서울특별시 동대문구 휘경동 319-13번지
동대문구,서울특별시 동대문구 장안동466-5번지 장안푸르미에
동대문구,서울특별시 동대문구 용두동102-117번지
동대문구,"서울 동대문구 한천로17길 23, 1층(답십리2동 4-73)"
동대문구,서울 동대문구 천호대로31길 50(용두동 39-419)
동대문구,서울 동대문구 장안동 305-1
동대문구,서울 동대문구 장한로6길 42(장안1동 459-1)
