기간,지역구,지가
2018,동작구,5594000
2018,동작구,3174000
2018,동작구,5700000
2018,동작구,1287000
2018,동작구,4013000
2019,동작구,4162000
2019,동작구,1729000
2019,동작구,3847000
2019,동작구,3652000
2019,동작구,4192000
2017,관악구,2424000
2017,관악구,2373000
2017,관악구,4740000
2017,관악구,1564000
2017,관악구,775500
2018,관악구,158400
2018,관악구,151100
2018,관악구,150300
2018,관악구,177900
2018,관악구,143600
2019,관악구,2435000
2019,관악구,2640000
2019,관악구,2557000
2019,관악구,811800
2019,관악구,2470000
2017,서초구,156900
2017,서초구,182100
2017,서초구,299700
2017,서초구,257000
2017,서초구,257000
2018,서초구,15060000
2018,서초구,13970000
2018,서초구,10130000
2018,서초구,10130000
2018,서초구,984200
2019,서초구,5330000
2019,서초구,7098000
2019,서초구,1758000
2019,서초구,6041000
2019,서초구,5223000
2017,강남구,4840000
2017,강남구,4840000
2017,강남구,4840000
2017,강남구,4840000
2017,강남구,4840000
2018,강남구,14860000
2018,강남구,14860000
2018,강남구,2294000
2018,강남구,13490000
2018,강남구,7634000
2019,강남구,5652000
2019,강남구,8660000
2019,강남구,13800000
2019,강남구,13520000
2019,강남구,6460000
2017,송파구,1445000
2017,송파구,1475000
2017,송파구,1445000
2017,송파구,1445000
2017,송파구,1445000
2018,송파구,6210000
2018,송파구,6210000
2018,송파구,6210000
2018,송파구,6582000
2018,송파구,5655000
2019,송파구,7320000
2019,송파구,6205000
2019,송파구,9609000
2019,송파구,6205000
2019,송파구,6205000
2017,강동구,3836000
2017,강동구,3325000
2017,강동구,6066000
2017,강동구,8559000
2017,강동구,2739000
2018,강동구,3896000
2018,강동구,3682000
2018,강동구,3528000
2018,강동구,3528000
2018,강동구,3682000
2019,강동구,8274000
2019,강동구,1389000
2019,강동구,5938000
2019,강동구,5632000
2019,강동구,4015000
